step,disp,axial_strain,vol_strain,void_ratio,packing,sigma_yy,p_mean,escaped
140,0.0308,0.08340144449582337,0.08043729658582954,0.3515057920468466,0.7399154379394162,1896591.25,1833973.4375,0
141,0.031020000000000002,0.08399716909936498,0.07968178417781738,0.35261618875128087,0.7393080227164722,1841242.125,1843588.625,0
142,0.03124,0.08459289370290657,0.08299031843371188,0.3477535478531399,0.7419754164942971,1866654.5,1833122.4375,0
143,0.03146,0.08518861830644817,0.08080076890859042,0.35097158709525805,0.740208017364831,1770885.625,1797966.0,0
144,0.03168,0.08578434290998976,0.08345482702381202,0.3470708472089696,0.7423514524658636,1831158.625,1794435.375,0
145,0.0319,0.08638006751353135,0.08286668619604103,0.34793525344502124,0.7418753960505324,1811686.25,1836813.375,0
146,0.03212,0.08697579211707296,0.08421502002567863,0.34595357131110893,0.7429676783173794,1855938.375,1833107.25,0
147,0.03234,0.08757151672061454,0.08589664441770584,0.3434820431625294,0.7443344740552098,1992871.5,1950362.3125,0
148,0.03256,0.08816724132415614,0.08458252734314156,0.34541343602035973,0.7432659532209899,1792292.375,1783773.8125,0
149,0.032780000000000004,0.08876296592769775,0.08673882851191815,0.342244262772925,0.7450208786395652,1787385.125,1810219.8125,0
150,0.033,0.08935869053123933,0.08575332140588901,0.3436926888095145,0.7442177875403791,1758823.875,1722734.5625,0
151,0.03322,0.08995441513478093,0.08757891440888531,0.34100956615968425,0.7457068355326874,1646096.0,1698854.5625,0
152,0.033440000000000004,0.09055013973832253,0.08866368238458502,0.33941525377974335,0.7465944539440361,1799730.25,1753496.4375,0
153,0.03366,0.09114586434186413,0.08784086626494249,0.3406245685413769,0.7459209859834343,1714623.0,1692116.125,0
154,0.03388,0.09174158894540571,0.08833216721986438,0.3399024904451799,0.7463229653881396,1830173.25,1791903.3125,0
155,0.0341,0.09233731354894731,0.0889067504654366,0.33905801014870773,0.746793635840277,1891676.5,1837980.75,0
156,0.03432,0.09293303815248892,0.08997408726402333,0.33748931683394096,0.7476695233477946,1854775.875,1825414.0625,0
157,0.03454,0.0935287627560305,0.09019020158026532,0.33717168786849805,0.747847123202285,1824138.75,1812299.5,0
158,0.03476,0.0941244873595721,0.0903459523757645,0.3369427767768982,0.747975169446519,1741291.125,1766427.0625,0
159,0.034980000000000004,0.0947202119631137,0.0911716736915924,0.3357291921710692,0.7486547466815625,1777229.125,1768171.375,0
160,0.0352,0.0953159365666553,0.0911577933098173,0.3357495925377818,0.7486433127784876,1832479.75,1823960.25,0
161,0.03542,0.09591166117019688,0.0917899962797348,0.33482042699809605,0.74916444172863,1775200.25,1728864.6875,0
162,0.03564,0.09650738577373848,0.09412206181773274,0.3313929281768248,0.7510930686475662,1844751.75,1873768.5,0
163,0.03586,0.09710311037728009,0.09338430338640963,0.33247723138895224,0.7504818667390035,1754517.5,1721253.875,0
164,0.03608,0.09769883498082167,0.09412932480819648,0.3313822535663356,0.7510990906791258,1818302.125,1865553.6875,0
165,0.0363,0.09829455958436327,0.09495117252911044,0.3301743620861008,0.7517811412570821,1755009.375,1713760.6875,0
166,0.036520000000000004,0.09889028418790487,0.09494487793737527,0.33018361341519126,0.751775912674598,1848936.75,1906187.625,0
167,0.03674,0.09948600879144646,0.0964484783631479,0.3279737318303783,0.7530269432526168,1973200.375,1891660.0,0
168,0.03696,0.10008173339498805,0.09625512141702561,0.3282579136829551,0.7528658325303923,1906513.25,1877723.125,0
169,0.037180000000000005,0.10067745799852966,0.09868192863062765,0.3246911704981926,0.7548929307228023,1980235.25,1967425.4375,0
170,0.0374,0.10127318260207126,0.09836106585192053,0.325162751068245,0.7546242898797724,2115414.0,2056977.75,0
171,0.03762,0.10186890720561284,0.09884139162125281,0.3244568034945649,0.7550265115189192,2035815.625,2048967.25,0
172,0.03784,0.10246463180915442,0.09982641452791766,0.32300908909867476,0.7558527059562903,2067160.375,2061027.1875,0
173,0.038060000000000004,0.10306035641269604,0.10082854581211928,0.32153623006474347,0.7566951077466934,2124907.75,2083607.75,0
174,0.03828,0.10365608101623763,0.09938708430475827,0.3236547844264829,0.7554839915705688,2170765.0,2198873.375,0
175,0.0385,0.10425180561977922,0.10090827730743186,0.3214190465629296,0.7567622115036445,2185846.0,2153190.5,0
176,0.038720000000000004,0.10484753022332083,0.10054948557852544,0.32194637232109174,0.7564603382845146,2165604.75,2140425.25,0
177,0.03894,0.10544325482686241,0.10217768664069739,0.31955336186299893,0.7578321793581424,2194386.25,2238592.875,0
178,0.03916,0.10603897943040401,0.10182551230310231,0.3200709618649377,0.7575350332585488,2151748.5,2190919.625,0
179,0.03938,0.1066347040339456,0.10337720986572337,0.31779039063733017,0.7588460252137402,2287093.0,2213376.75,0
180,0.0396,0.1072304286374872,0.10436513796857384,0.3163384063972442,0.7596830686851663,2231549.25,2331826.375,0
181,0.03982,0.1078261532410288,0.1030381089109629,0.3182887763403886,0.7585591396568145,2158190.5,2209770.625,0
182,0.04004,0.10842187784457039,0.10560259014379914,0.3145196899834656,0.7607341355324836,2192251.25,2264353.75,0
183,0.040260000000000004,0.109017602448112,0.10589585355874429,0.3140886729332718,0.7609836539933246,2198186.0,2178057.375,0
184,0.04048,0.10961332705165358,0.10724192779134879,0.31211031178928944,0.7621310426532103,2214776.75,2204110.625,0
185,0.0407,0.11020905165519518,0.10740155218176192,0.3118757075720954,0.7622673354099317,2274051.5,2255222.75,0
186,0.04092,0.11080477625873676,0.10873939502517437,0.3099094443200005,0.7634115505741081,2106248.25,2167213.0,0
187,0.04114,0.11140050086227837,0.10867063871545138,0.31001049729929747,0.763352661724153,2141911.5,2209782.75,0
188,0.04136,0.11199622546581997,0.10968535918312333,0.30851913560718514,0.7642226795070715,1944348.125,2058751.8125,0
189,0.04158,0.11259195006936155,0.10915838887503537,0.30929363790156195,0.7637706096263672,2043523.25,2055048.9375,0
190,0.041800000000000004,0.11318767467290317,0.11127337169806299,0.3061851913271319,0.7655882233544261,2025054.25,2082297.875,0
191,0.04202,0.11378339927644475,0.11023960605539719,0.30770454422008253,0.7646987268033101,2111864.75,2102210.6875,0
192,0.04224,0.11437912387998635,0.11065698590737749,0.30709110993730804,0.7650576095249878,2022126.25,2064281.625,0
193,0.042460000000000005,0.11497484848352796,0.11123463574892319,0.306242122583074,0.7655548559577264,2034010.875,2033298.0625,0
194,0.04268,0.11557057308706954,0.11226565759519157,0.30472680232075255,0.7664439775601093,1934536.5,2004007.25,0
195,0.0429,0.11616629769061114,0.1127382361746958,0.304032240998261,0.7668522054596452,2112713.25,2100996.5625,0
196,0.04312,0.11676202229415272,0.11339174391664027,0.303071763267807,0.7674174425299708,2032295.125,2088292.5625,0
197,0.043340000000000004,0.11735774689769433,0.11292287753226174,0.303760868678271,0.7670118225083575,2180177.25,2188206.5,0
198,0.04356,0.11795347150123592,0.11471134858399921,0.3011323051487184,0.7685613492516434,2155547.5,2199301.0,0
199,0.04378,0.11854919610477752,0.11484143681319346,0.3009411110141799,0.7686743016526136,2199242.25,2267119.375,0
200,0.044000000000000004,0.11914492070831913,0.116146192700049,0.29902347654320216,0.7698090281332515,2285053.25,2318358.75,0
